source	kind	phase	count	gpu_ms	pct	avg_ms
layer	gdn	ffn_gate_up_swiglu	192	6298.77	31.0	32.806
layer	gdn	gdn_front	192	3612.91	17.8	18.817
layer	gdn	ffn_down_resid	192	3228.23	15.9	16.814
layer	attn	ffn_gate_up_swiglu	64	2109.42	10.4	32.960
layer	gdn	gdn_back	192	1160.69	5.7	6.045
layer	attn	ffn_down_resid	64	1081.33	5.3	16.896
attn-detail	attn	proj	64	877.83	4.3	13.716
layer	gdn	gdn_step	192	603.84	3.0	3.145
layer	attn	attn_back	64	377.01	1.9	5.891
attn-detail	attn	body_matrix_kqv	64	218.96	1.1	3.421
attn-detail	attn	body_matrix_kq	64	214.41	1.1	3.350
layer	gdn	gdn_prep	192	188.44	0.9	0.981
layer	gdn	gdn_gated	192	157.12	0.8	0.818
attn-detail	attn	body_matrix_softmax	64	65.63	0.3	1.025
attn-detail	attn	norm	64	31.90	0.2	0.498
layer	gdn	mixer_resid	192	26.50	0.1	0.138
layer	gdn	pre_norm	192	16.32	0.1	0.085
layer	gdn	ffn_norm	192	13.98	0.1	0.073
attn-detail	attn	split_q_gate	64	12.12	0.1	0.189
layer	attn	mixer_resid	64	8.69	0.0	0.136
attn-detail	attn	rope_scatter	64	7.11	0.0	0.111
layer	attn	ffn_norm	64	4.54	0.0	0.071
layer	attn	pre_norm	64	4.38	0.0	0.068
layer	gdn	gdn_alpha_beta	192	2.14	0.0	0.011
